clics_db_id,start_date,end_date,parent_id
5922,2023-01-01,NULL,65193
5923,2023-01-01,NULL,65194
5924,2023-01-01,NULL,65195
5925,2024-01-01,NULL,65196
5926,2023-01-01,NULL,65197
5927,2023-01-01,NULL,65198
5928,2023-01-01,NULL,65199
5929,2023-01-01,NULL,65200
5930,2024-01-01,NULL,65201
5931,2024-01-01,NULL,65202
5932,2024-01-01,NULL,65203
5933,2024-01-01,NULL,65204
5934,2023-01-01,NULL,65205
5935,2024-01-01,NULL,65206
5936,2024-01-01,NULL,65207
5937,2024-01-01,NULL,65208
5938,2024-01-01,NULL,65209
5939,2024-01-01,NULL,65210
5940,2023-01-01,NULL,65211
5941,2024-01-01,NULL,65212
5942,2024-01-01,NULL,65213
5943,2024-01-01,NULL,65214
5944,2024-01-01,NULL,65215
5945,2024-01-01,NULL,65216
5946,2024-01-01,NULL,65217
5947,2024-01-01,NULL,65218
5948,2024-01-01,NULL,65219
5949,2024-01-01,NULL,65220
5950,2024-01-01,NULL,65221
5951,2024-01-01,NULL,65222
5952,2024-01-01,NULL,65223
5953,2024-01-01,NULL,65224
5954,2023-01-01,NULL,65225
5955,2023-01-01,NULL,65226
5956,2024-01-01,NULL,65227
5957,2024-01-01,NULL,65228
5958,2024-01-01,NULL,65229
5959,2024-01-01,NULL,65230
5960,2024-01-01,NULL,65231
5961,2024-01-01,NULL,65232
5962,2024-01-01,NULL,65233
5963,2024-01-01,NULL,65234
5964,2024-01-01,NULL,65235
5965,2024-01-01,NULL,65236
5966,2024-01-01,NULL,65237
5967,2024-01-01,NULL,65238
5968,2024-01-01,NULL,65239
5969,2023-01-01,NULL,65240
5970,2024-01-01,NULL,65241
5971,2024-01-01,NULL,65242
5972,2023-01-01,NULL,65243
5973,2024-01-01,NULL,65244
5974,2024-01-01,NULL,65245
5975,2023-01-01,NULL,65246
5976,2023-01-01,NULL,65247
5977,2024-01-01,NULL,65248
5978,2024-01-01,NULL,65249
5979,2024-01-01,NULL,65250
5980,2023-01-01,NULL,65251
5981,2023-01-01,NULL,65252
5982,2024-01-01,NULL,65253
5983,2021-12-15,NULL,59000
5984,2022-02-01,NULL,6970
5985,2022-02-01,NULL,47192
5986,2022-01-26,NULL,47202
5987,2022-02-01,NULL,60747
5988,2022-02-01,NULL,18509
5989,2022-01-31,NULL,18482
5990,2022-01-31,NULL,8449
5991,2022-01-31,NULL,4424
5992,2022-01-31,NULL,4288
5993,2022-01-31,NULL,4194
5994,2022-01-31,NULL,4089
5995,2022-01-31,NULL,4017
5996,2022-01-31,NULL,3949
5997,2022-01-31,NULL,3676
5998,2022-01-31,NULL,3432
5999,2022-01-31,NULL,3385
6000,2022-01-31,NULL,2917
6001,2022-01-31,NULL,2534
6002,2022-02-08,NULL,8381
6003,2022-02-09,NULL,3188
6004,2022-02-03,NULL,2678
6005,2022-02-04,NULL,2613
6006,2021-12-10,NULL,5811
6007,2022-01-19,NULL,8090
6008,2022-01-17,NULL,49924
6009,2022-01-17,2023-01-31,49951
6010,2022-02-17,NULL,49954
6011,2022-02-04,NULL,279
6012,2022-02-04,NULL,345
6013,2022-02-04,NULL,351
6014,2022-02-04,NULL,373
6015,2022-02-21,NULL,752
6016,2022-03-01,NULL,809
6017,2022-02-04,NULL,873
6018,2022-02-14,NULL,73
6019,2022-02-04,NULL,1983
6020,2022-02-01,NULL,100
6021,2022-03-01,NULL,103
6022,2022-02-14,NULL,2253
6023,2022-02-04,NULL,2227
6024,2022-01-10,NULL,5911
6025,2022-01-10,NULL,5921
6026,2022-01-10,NULL,5931
6027,2022-02-22,NULL,5913
6028,2022-02-12,NULL,44445
6029,2022-12-10,NULL,44594
6030,2022-02-07,NULL,56857
6031,2022-02-11,NULL,26481
6032,2022-02-11,NULL,26411
6033,2022-01-13,NULL,26382
6034,2022-01-13,NULL,26392
6035,2022-01-07,NULL,26353
6036,2022-02-12,NULL,28353
6037,2022-02-13,NULL,3977
6038,2022-02-16,NULL,3601
6039,2022-01-05,NULL,18765
6040,2022-01-20,NULL,18774
6041,2021-12-25,NULL,18730
6042,2022-01-13,NULL,18725
6043,2022-01-06,NULL,18708
6044,2021-12-29,NULL,18695
6045,2022-01-20,NULL,42300
6046,2021-12-01,NULL,16364
6047,2022-01-31,NULL,16350
6048,2022-01-06,NULL,16347
6049,2021-10-31,NULL,49271
6050,2021-10-23,NULL,42299
6051,2022-03-23,NULL,3117
6052,2022-01-13,NULL,30449
6053,2022-02-06,NULL,5718
6054,2022-03-02,NULL,61103
6056,2021-12-16,NULL,32261
6057,2021-12-10,NULL,8589
6058,2021-12-16,NULL,8650
6059,2021-12-24,NULL,8524
6060,2022-02-11,NULL,6260
6061,2022-02-16,NULL,9094
6062,2022-01-20,NULL,44882
6063,2022-01-23,NULL,44969
6064,2021-12-29,NULL,44568
6065,2022-01-27,NULL,62916
6066,2022-01-31,NULL,44544
6067,2022-01-31,NULL,44444
6069,2022-02-27,NULL,44809
6070,2022-02-27,NULL,44832
6071,2022-03-09,NULL,5735
6072,2022-03-05,NULL,50035
6073,2022-03-05,NULL,50029
6074,2022-03-03,NULL,4077
6075,2022-03-07,NULL,3946
6076,2022-03-07,NULL,3241
6077,2022-03-08,NULL,3234
6078,2022-02-28,NULL,4513
6079,2022-02-28,NULL,3863
6080,2022-02-28,NULL,3856
6081,2022-02-27,NULL,2732
6082,2022-02-28,NULL,62945
6083,2022-03-15,NULL,59614
6084,2022-03-15,NULL,2487
